이름,체력,데미지,공격속도,이동속도,,
1,10,10,1,1,5,10
2,11,11,1,1,,
3,12,12,1,1,,
4,13,13,1,1,,
5,14,14,1,1,,
6,15,15,1,1,,
7,16,16,1,1,,
8,17,17,1,1,,
9,18,18,1,1,,
10,100,100,1,1,,
11,110,110,1,1,,
12,120,120,1,1,,
13,130,130,1,1,,
14,140,140,1,1,,
15,150,150,1,1,,
16,160,160,1,1,,
17,170,170,1,1,,
18,180,180,1,1,,
19,190,190,1,1,,
20,400,400,1,1,,
21,420,420,1,1,,
22,440,440,1,1,,
23,460,460,1,1,,
24,480,480,1,1,,
25,500,500,1,1,,
26,520,520,1,1,,
27,540,540,1,1,,
boss3,500,100,1,0.8,,
boss4,2000,200,1,0.8,,
boss5,5000,500,1,0.8,,
